,PA18:PM10,PA18:PM25,PA18:NO2,PA18:NO,PA18:NOX,PA18:O3
,PARIS 18ème,PARIS 18ème,PARIS 18ème,PARIS 18ème,PARIS 18ème,PARIS 18ème
,PA18,PA18,PA18,PA18,PA18,PA18
,PM 10 particules,"PM 2,5 particules",dioxyde d azote,monoxyde d azote,oxydes d azote,ozone
,PM10,PM25,NO2,NO,NOX,O3
,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3
2023-01-04 05:00:00Z,8.7,4.4,7.2,0.9,8.5,64.1
2023-01-04 06:00:00Z,4.8,2.4,10.8,1.1,12.4,59.0
2023-01-04 07:00:00Z,8.5,6.5,16.3,1.6,18.6,51.6
2023-01-04 08:00:00Z,5.0,3.6,20.7,1.8,23.4,47.4
2023-01-04 09:00:00Z,5.9,3.5,22.2,1.6,24.7,47.1
2023-01-04 10:00:00Z,7.5,3.2,19.3,1.8,22.0,49.3
2023-01-04 11:00:00Z,6.7,4.3,17.4,1.8,20.2,51.2
2023-01-04 12:00:00Z,6.8,5.6,15.4,1.7,18.1,51.3
2023-01-04 13:00:00Z,4.4,5.2,17.0,2.0,20.1,48.0
2023-01-04 14:00:00Z,6.4,7.0,17.8,1.8,20.5,47.8
2023-01-04 15:00:00Z,4.2,2.8,21.9,2.1,25.0,41.9
2023-01-04 16:00:00Z,5.8,3.0,22.1,2.0,25.2,46.2
2023-01-04 17:00:00Z,2.5,4.1,21.2,1.6,23.7,48.7
2023-01-04 18:00:00Z,3.2,4.7,21.5,1.6,23.9,47.3
2023-01-04 19:00:00Z,4.1,5.3,19.6,1.5,22.1,48.6
2023-01-04 20:00:00Z,3.9,4.7,17.2,1.3,19.2,54.2
2023-01-04 21:00:00Z,4.6,5.6,13.7,1.4,15.8,57.5
2023-01-04 22:00:00Z,5.2,5.0,12.2,1.1,13.8,58.0
2023-01-04 23:00:00Z,1.5,3.0,11.3,1.2,13.0,57.9
2023-01-05 00:00:00Z,0.0,1.2,10.0,0.9,11.4,57.8
2023-01-05 01:00:00Z,4.1,1.7,9.7,0.9,11.3,58.1
2023-01-05 02:00:00Z,2.8,2.0,8.2,0.8,9.4,62.7
2023-01-05 03:00:00Z,3.0,2.3,10.2,1.0,11.8,61.4
2023-01-05 04:00:00Z,7.6,4.3,8.2,0.9,9.5,64.2
2023-01-05 05:00:00Z,6.2,5.1,11.9,1.0,13.3,58.2
2023-01-05 06:00:00Z,5.6,5.7,17.3,1.8,20.0,53.7
2023-01-05 07:00:00Z,3.5,3.5,22.2,1.8,25.1,45.8
2023-01-05 08:00:00Z,4.8,3.6,30.9,3.0,35.5,37.1
2023-01-05 09:00:00Z,5.0,2.6,32.8,3.0,37.5,32.7
2023-01-05 10:00:00Z,4.6,3.3,25.4,3.1,30.1,43.2
2023-01-05 11:00:00Z,7.0,4.7,22.1,3.0,26.6,43.4
2023-01-05 12:00:00Z,6.9,4.1,21.2,3.4,26.4,45.0
2023-01-05 13:00:00Z,6.6,5.4,23.5,2.4,27.2,43.7
2023-01-05 14:00:00Z,9.0,6.7,20.9,2.1,24.1,47.7
2023-01-05 15:00:00Z,5.9,4.3,22.7,2.2,26.1,47.6
2023-01-05 16:00:00Z,5.1,4.1,20.2,1.8,22.9,53.6
2023-01-05 17:00:00Z,5.3,3.4,17.6,1.2,19.6,58.6
2023-01-05 18:00:00Z,1.2,4.0,24.4,1.2,26.3,50.0
