,PA18:PM10,PA18:NO2,PA18:NO,PA18:NOX,PA18:O3
,PARIS 18ème,PARIS 18ème,PARIS 18ème,PARIS 18ème,PARIS 18ème
,PA18,PA18,PA18,PA18,PA18
,PM 10 particules,dioxyde d azote,monoxyde d azote,oxydes d azote,ozone
,PM10,NO2,NO,NOX,O3
,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3
2021-01-01 01:00:00Z,50.5,46.4,12.9,66.2,3.1
2021-01-01 02:00:00Z,44.8,46.0,13.3,66.4,2.8
2021-01-01 03:00:00Z,42.7,44.9,14.4,67.0,2.7
2021-01-01 04:00:00Z,36.3,42.5,11.1,59.6,2.6
2021-01-01 05:00:00Z,32.6,42.1,12.8,61.8,2.6
2021-01-01 06:00:00Z,31.1,41.9,13.9,63.2,3.3
2021-01-01 07:00:00Z,27.3,41.0,11.0,57.9,4.7
2021-01-01 08:00:00Z,24.4,39.7,11.8,57.7,7.5
2021-01-01 09:00:00Z,21.1,38.3,15.6,62.1,7.8
2021-01-01 10:00:00Z,19.5,32.0,13.7,53.0,17.5
2021-01-01 11:00:00Z,14.7,25.2,9.2,39.2,27.3
2021-01-01 12:00:00Z,15.5,27.7,8.6,40.9,27.4
2021-01-01 13:00:00Z,17.8,29.8,9.8,44.9,27.8
2021-01-01 14:00:00Z,18.8,28.6,9.5,43.2,29.1
2021-01-01 15:00:00Z,14.7,25.4,5.4,33.8,35.0
2021-01-01 16:00:00Z,13.7,31.7,5.9,40.8,29.4
2021-01-01 17:00:00Z,16.0,39.2,4.7,46.5,22.6
2021-01-01 18:00:00Z,21.2,47.7,7.9,59.8,13.1
2021-01-01 19:00:00Z,24.3,53.7,17.7,80.9,7.5
2021-01-01 20:00:00Z,24.6,55.3,24.4,92.7,3.0
2021-01-01 21:00:00Z,29.2,57.5,28.0,100.4,2.3
2021-01-01 22:00:00Z,27.9,50.9,14.2,72.8,4.2
2021-01-01 23:00:00Z,28.7,51.1,16.7,76.7,3.9
2021-01-02 00:00:00Z,37.9,50.7,19.4,80.5,2.5
2021-01-02 01:00:00Z,37.2,48.6,18.0,76.3,2.1
2021-01-02 02:00:00Z,39.7,49.4,31.8,98.2,1.5
2021-01-02 03:00:00Z,43.4,47.1,34.2,99.4,2.1
2021-01-02 04:00:00Z,43.9,45.1,29.0,89.6,1.6
2021-01-02 05:00:00Z,39.7,43.7,26.3,84.0,1.4
2021-01-02 06:00:00Z,39.8,42.9,34.5,95.8,1.9
2021-01-02 07:00:00Z,43.0,42.3,38.5,101.4,1.0
2021-01-02 08:00:00Z,40.3,42.0,41.8,106.2,0.9
2021-01-02 09:00:00Z,39.5,41.5,45.7,111.6,2.1
2021-01-02 10:00:00Z,41.7,38.6,37.5,96.2,6.2
2021-01-02 11:00:00Z,40.0,43.3,37.6,101.0,8.3
2021-01-02 12:00:00Z,45.0,49.0,48.4,123.2,7.2
2021-01-02 13:00:00Z,48.5,49.0,49.9,125.4,9.2
2021-01-02 14:00:00Z,52.9,49.4,42.3,114.4,10.7
2021-01-02 15:00:00Z,50.5,50.8,29.5,95.9,8.7
2021-01-02 16:00:00Z,51.2,55.7,39.9,117.0,2.5
2021-01-02 17:00:00Z,53.4,57.8,54.2,140.8,1.3
2021-01-02 18:00:00Z,60.5,59.6,64.4,158.4,1.2
2021-01-02 19:00:00Z,66.0,61.2,76.2,177.9,1.2
2021-01-02 20:00:00Z,67.3,58.5,80.0,181.2,1.1
2021-01-02 21:00:00Z,64.6,56.4,78.5,176.7,1.2
2021-01-02 22:00:00Z,64.2,53.4,65.0,153.1,1.7
2021-01-02 23:00:00Z,61.4,49.1,52.5,129.5,2.2
2021-01-03 00:00:00Z,59.3,44.8,42.4,109.9,0.4
2021-01-03 01:00:00Z,56.1,43.0,37.4,100.4,0.9
2021-01-03 02:00:00Z,61.1,39.9,41.3,103.3,1.4
2021-01-03 03:00:00Z,59.9,38.1,29.3,83.2,0.4
2021-01-03 04:00:00Z,47.6,38.4,31.3,86.4,0.5
2021-01-03 05:00:00Z,39.8,36.8,21.7,70.1,0.6
2021-01-03 06:00:00Z,30.2,34.8,17.8,62.1,0.8
2021-01-03 07:00:00Z,34.5,35.1,27.2,76.9,0.3
2021-01-03 08:00:00Z,35.9,36.0,19.4,65.8,0.9
2021-01-03 09:00:00Z,32.5,34.5,15.7,58.6,3.3
2021-01-03 10:00:00Z,31.6,29.8,15.1,52.9,5.2
2021-01-03 11:00:00Z,30.8,23.7,12.7,43.2,8.2
2021-01-03 12:00:00Z,25.4,23.2,13.5,44.0,11.8
2021-01-03 13:00:00Z,24.5,28.8,16.4,53.8,11.4
2021-01-03 14:00:00Z,23.5,26.1,11.8,44.2,13.9
2021-01-03 15:00:00Z,20.9,28.9,14.6,51.3,13.2
2021-01-03 16:00:00Z,23.8,32.8,13.0,52.8,10.6
2021-01-03 17:00:00Z,27.0,38.2,15.4,61.8,6.5
2021-01-03 18:00:00Z,32.0,39.2,18.4,67.3,4.6
2021-01-03 19:00:00Z,35.0,38.6,13.8,59.7,4.9
2021-01-03 20:00:00Z,37.2,34.7,11.2,51.9,6.2
2021-01-03 21:00:00Z,34.5,28.6,6.0,37.8,8.8
2021-01-03 22:00:00Z,35.3,28.1,6.9,38.7,8.1
2021-01-03 23:00:00Z,34.3,22.6,3.6,28.1,11.2
2021-01-04 00:00:00Z,31.3,22.2,4.3,28.9,12.1
2021-01-04 01:00:00Z,28.5,18.7,2.4,22.5,15.2
2021-01-04 02:00:00Z,23.1,15.7,1.8,18.4,17.6
2021-01-04 03:00:00Z,21.6,16.0,2.1,19.3,17.9
2021-01-04 04:00:00Z,20.2,16.6,2.5,20.5,17.4
