,PA18:PM10,PA18:PM25,PA18:NO2,PA18:NO,PA18:NOX,PA18:O3
2022-01-04 21:00:00Z,8.5,4.5,18.1,3.2,22.9,54.6
2022-01-04 22:00:00Z,4.1,2.7,21.5,2.4,25.1,55.2
2022-01-04 23:00:00Z,3.8,3.5,12.9,1.8,15.6,57.7
2022-01-05 00:00:00Z,7.2,3.3,14.4,1.7,17.1,52.7
2022-01-05 01:00:00Z,7.0,3.5,15.6,1.7,18.2,48.6
2022-01-05 02:00:00Z,9.4,5.9,16.5,1.7,19.1,46.5
2022-01-05 03:00:00Z,11.2,7.1,16.5,1.8,19.2,48.3
2022-01-05 04:00:00Z,11.3,5.7,15.9,1.8,18.6,48.7
2022-01-05 05:00:00Z,10.7,4.1,20.3,2.3,23.9,45.1
2022-01-05 06:00:00Z,10.8,4.4,28.8,3.5,34.3,37.7
2022-01-05 07:00:00Z,11.6,6.5,35.7,6.0,44.8,32.6
2022-01-05 08:00:00Z,11.6,4.4,43.7,6.2,53.2,24.5
2022-01-05 09:00:00Z,11.3,5.6,40.6,6.4,50.4,29.4
2022-01-05 10:00:00Z,15.3,6.9,33.6,8.6,46.8,37.3
2022-01-05 11:00:00Z,15.7,7.5,28.2,8.2,40.8,44.3
2022-01-05 12:00:00Z,14.8,7.8,26.5,8.8,40.1,48.6
2022-01-05 13:00:00Z,17.1,9.4,25.6,8.2,38.2,51.9
2022-01-05 14:00:00Z,18.6,11.3,24.9,5.9,33.9,52.2
2022-01-05 15:00:00Z,17.4,5.3,27.9,6.1,37.4,49.4
2022-01-05 16:00:00Z,15.9,5.0,33.9,6.6,44.0,43.2
2022-01-05 17:00:00Z,16.2,9.2,48.6,7.8,60.5,28.5
2022-01-05 18:00:00Z,21.2,11.7,51.0,8.1,63.5,26.3
2022-01-05 19:00:00Z,20.4,12.6,56.5,9.8,71.6,20.0
2022-01-05 20:00:00Z,23.2,13.8,54.9,7.3,66.1,20.4
2022-01-05 21:00:00Z,25.7,16.8,53.0,6.3,62.6,21.5
2022-01-05 22:00:00Z,25.1,17.9,51.0,5.8,59.9,21.9
2022-01-05 23:00:00Z,26.9,17.9,57.1,6.7,67.3,13.6
2022-01-06 00:00:00Z,28.4,19.2,56.1,7.4,67.4,12.6
2022-01-06 01:00:00Z,26.7,19.3,50.7,5.5,59.1,13.7
2022-01-06 02:00:00Z,28.9,17.5,44.1,4.5,51.0,16.8
2022-01-06 03:00:00Z,24.4,16.6,43.5,4.5,50.4,16.7
2022-01-06 04:00:00Z,23.7,14.9,38.8,4.2,45.4,20.4
2022-01-06 05:00:00Z,21.5,13.6,35.6,4.2,42.1,22.2
2022-01-06 06:00:00Z,19.4,12.8,47.8,9.6,62.5,11.1
2022-01-06 07:00:00Z,19.8,14.9,59.1,25.3,98.0,3.2
2022-01-06 08:00:00Z,19.9,15.8,62.8,34.7,116.0,2.6
2022-01-06 09:00:00Z,21.9,15.8,65.6,47.9,139.1,3.2
2022-01-06 10:00:00Z,27.4,18.6,61.0,43.2,127.1,7.2
2022-01-06 11:00:00Z,29.5,17.2,62.6,41.8,126.7,8.5
2022-01-06 12:00:00Z,30.8,15.2,47.1,24.1,84.1,23.5
2022-01-06 13:00:00Z,19.3,12.0,33.0,10.7,49.4,39.4
2022-01-06 14:00:00Z,17.1,8.7,30.8,9.9,46.0,45.0
2022-01-06 15:00:00Z,13.8,9.8,21.5,4.8,28.9,57.2
2022-01-06 16:00:00Z,10.2,7.3,20.5,2.7,24.6,58.0
2022-01-06 17:00:00Z,9.7,5.0,31.8,3.0,36.4,45.5
2022-01-06 18:00:00Z,12.8,5.2,35.8,2.8,40.1,36.2
2022-01-06 19:00:00Z,17.1,8.6,39.4,2.9,43.8,29.4
2022-01-06 20:00:00Z,19.8,12.7,34.4,2.6,38.4,31.4
2022-01-06 21:00:00Z,25.1,14.9,37.5,3.2,42.4,25.0
2022-01-06 22:00:00Z,26.6,17.6,30.1,2.4,33.9,30.2
2022-01-06 23:00:00Z,19.8,14.2,26.4,2.2,29.7,32.5
2022-01-07 00:00:00Z,18.5,13.5,21.0,1.8,23.9,39.1
2022-01-07 01:00:00Z,14.7,9.1,13.5,1.2,15.3,48.2
2022-01-07 02:00:00Z,13.3,6.7,12.6,1.5,14.8,50.0
2022-01-07 03:00:00Z,12.2,8.3,11.1,1.3,13.1,52.1
2022-01-07 04:00:00Z,11.0,8.7,12.0,1.6,14.3,53.5
2022-01-07 05:00:00Z,10.8,6.5,14.3,1.9,17.2,51.6
2022-01-07 06:00:00Z,10.1,7.3,21.8,2.3,25.4,45.1
2022-01-07 07:00:00Z,12.4,6.7,30.4,3.2,35.4,38.8
2022-01-07 08:00:00Z,8.4,5.1,35.9,4.5,42.7,34.3
2022-01-07 09:00:00Z,7.5,5.8,37.2,4.4,44.0,36.5
2022-01-07 10:00:00Z,4.0,5.7,36.0,5.4,44.3,46.2
2022-01-07 11:00:00Z,7.9,4.7,29.2,7.1,40.2,50.6
2022-01-07 12:00:00Z,7.9,2.9,20.6,4.4,27.4,64.2
2022-01-07 13:00:00Z,7.0,1.9,17.2,4.0,23.4,66.5
2022-01-07 14:00:00Z,8.0,5.6,15.2,3.4,20.4,69.4
2022-01-07 15:00:00Z,12.1,4.0,17.6,2.9,22.1,68.0
2022-01-07 16:00:00Z,7.8,3.2,21.9,2.5,25.8,62.9
2022-01-07 17:00:00Z,7.0,2.1,27.0,2.5,30.8,56.8
2022-01-07 18:00:00Z,12.0,4.7,23.6,2.0,26.7,57.4
2022-01-07 19:00:00Z,15.4,6.3,22.5,2.0,25.6,56.1
2022-01-07 20:00:00Z,11.2,6.5,21.1,2.1,24.3,57.1
2022-01-07 21:00:00Z,9.1,5.6,18.4,2.2,21.9,59.8
2022-01-07 22:00:00Z,9.3,4.4,16.1,2.6,20.0,62.0
2022-01-07 23:00:00Z,8.6,6.1,13.1,2.1,16.5,69.9
2022-01-08 00:00:00Z,,,12.8,1.7,15.3,69.3
2022-01-08 01:00:00Z,,,19.3,2.0,22.3,65.1
2022-01-08 02:00:00Z,2.4,1.0,19.3,1.9,22.1,60.8
2022-01-08 03:00:00Z,4.0,1.6,20.6,2.0,23.6,57.2
2022-01-08 04:00:00Z,,,25.9,1.9,28.8,53.0
2022-01-08 05:00:00Z,5.6,3.2,28.5,2.3,32.0,46.6
2022-01-08 06:00:00Z,6.5,2.5,29.4,2.8,33.7,43.1
2022-01-08 07:00:00Z,6.7,4.3,34.6,2.6,38.6,36.8
2022-01-08 08:00:00Z,10.6,4.5,34.5,2.4,38.1,34.8
2022-01-08 09:00:00Z,11.5,4.9,39.1,3.4,44.4,27.3
2022-01-08 10:00:00Z,9.2,8.0,32.0,4.8,39.4,33.8
2022-01-08 11:00:00Z,,,25.2,3.5,30.5,42.2
2022-01-08 12:00:00Z,12.7,7.1,23.5,3.2,28.5,47.6
2022-01-08 13:00:00Z,11.1,6.8,23.3,2.5,27.1,52.5
2022-01-08 14:00:00Z,14.7,7.4,23.2,1.9,26.2,57.0
2022-01-08 15:00:00Z,10.9,7.2,19.3,1.6,21.9,63.2
2022-01-08 16:00:00Z,,,18.0,1.7,20.6,65.6
2022-01-08 17:00:00Z,,,17.3,1.9,20.2,66.0
2022-01-08 18:00:00Z,8.9,4.9,19.9,1.8,22.7,62.2
2022-01-08 19:00:00Z,4.0,4.3,20.7,1.9,23.5,68.8
2022-01-08 20:00:00Z,12.1,6.1,21.8,1.9,24.8,77.6
2022-01-08 21:00:00Z,10.8,8.2,15.5,2.0,18.5,79.5
2022-01-08 22:00:00Z,10.6,4.0,11.8,1.5,14.2,78.7
2022-01-08 23:00:00Z,6.0,1.3,13.9,1.8,16.7,75.3
2022-01-09 00:00:00Z,4.9,3.3,11.5,1.8,14.3,75.4
2022-01-09 01:00:00Z,13.4,4.9,12.4,1.6,14.9,72.4
2022-01-09 02:00:00Z,16.7,4.5,12.3,1.6,14.8,71.7
2022-01-09 03:00:00Z,12.3,5.0,10.6,1.3,12.6,71.7
2022-01-09 04:00:00Z,7.4,3.8,11.1,1.0,12.6,71.6
2022-01-09 05:00:00Z,7.7,4.9,13.0,1.5,15.3,68.1
2022-01-09 06:00:00Z,7.8,3.4,16.9,1.8,19.7,62.6
2022-01-09 07:00:00Z,9.6,2.8,20.2,2.1,23.5,59.6
2022-01-09 08:00:00Z,6.6,4.9,17.7,1.9,20.6,66.3
2022-01-09 09:00:00Z,2.6,1.2,23.6,2.6,27.6,56.5
2022-01-09 10:00:00Z,,,35.4,4.2,41.9,44.4
2022-01-09 11:00:00Z,,,38.7,5.6,47.2,38.2
2022-01-09 12:00:00Z,5.6,3.9,38.6,6.3,48.3,42.5
2022-01-09 13:00:00Z,6.2,5.8,29.1,4.8,36.5,56.4
2022-01-09 14:00:00Z,,,28.9,5.2,36.9,57.4
2022-01-09 15:00:00Z,6.4,5.4,31.1,4.9,38.7,56.1
2022-01-09 16:00:00Z,,,34.1,4.5,41.0,51.2
2022-01-09 17:00:00Z,9.3,7.3,40.6,4.0,46.9,45.3
2022-01-09 18:00:00Z,8.8,8.1,49.4,4.8,56.8,36.4
2022-01-09 19:00:00Z,13.0,14.5,51.4,4.8,58.7,36.8
2022-01-09 20:00:00Z,19.0,16.7,44.1,3.8,49.9,43.0
2022-01-09 21:00:00Z,17.9,15.7,57.8,3.8,63.6,25.3
2022-01-09 22:00:00Z,19.7,16.8,55.1,3.9,61.2,25.5
2022-01-09 23:00:00Z,20.7,17.1,52.2,3.9,58.2,23.9
2022-01-10 00:00:00Z,21.7,18.0,53.6,2.9,58.0,18.3
2022-01-10 01:00:00Z,17.2,18.0,51.3,4.3,57.9,21.6
2022-01-10 02:00:00Z,14.7,14.8,56.2,11.8,74.4,22.0
2022-01-10 03:00:00Z,22.1,19.0,71.2,26.5,112.0,2.3
2022-01-10 04:00:00Z,27.1,24.7,67.7,69.5,174.3,1.8
2022-01-10 05:00:00Z,33.8,31.9,63.3,106.8,227.2,2.0
2022-01-10 06:00:00Z,38.6,37.7,64.3,135.7,272.4,1.5
2022-01-10 07:00:00Z,43.8,40.1,66.5,164.6,318.9,1.4
2022-01-10 08:00:00Z,41.3,33.6,59.6,60.6,152.5,1.3
2022-01-10 09:00:00Z,29.4,22.9,51.0,36.6,107.1,7.9
2022-01-10 10:00:00Z,17.8,14.2,50.6,12.8,70.1,13.6
2022-01-10 11:00:00Z,17.8,13.4,46.4,10.8,63.0,18.4
2022-01-10 12:00:00Z,20.8,18.7,48.9,10.9,65.5,20.4
2022-01-10 13:00:00Z,23.6,20.3,39.7,5.8,48.5,33.6
2022-01-10 14:00:00Z,21.2,18.6,42.5,5.6,51.0,30.8
2022-01-10 15:00:00Z,19.9,14.4,42.3,5.3,50.4,31.5
2022-01-10 16:00:00Z,21.0,12.2,44.8,4.8,52.2,30.9
2022-01-10 17:00:00Z,22.1,13.0,41.6,3.6,47.1,31.8
2022-01-10 18:00:00Z,17.1,14.3,36.3,4.3,42.9,36.0
2022-01-10 19:00:00Z,14.6,14.3,36.9,3.5,42.3,36.6
2022-01-10 20:00:00Z,17.3,15.0,35.6,3.2,40.6,35.3
2022-01-10 21:00:00Z,20.7,15.3,33.5,3.4,38.8,37.6
2022-01-10 22:00:00Z,21.7,14.5,26.0,2.5,29.7,45.6
2022-01-10 23:00:00Z,19.6,15.7,27.5,2.6,31.5,37.0
2022-01-11 00:00:00Z,25.3,18.8,30.1,2.4,33.7,31.8
2022-01-11 01:00:00Z,20.5,16.5,22.9,2.5,26.6,40.2
2022-01-11 02:00:00Z,15.1,12.5,19.4,1.9,22.3,37.8
2022-01-11 03:00:00Z,19.8,15.1,19.6,2.5,23.4,34.8
2022-01-11 04:00:00Z,16.4,15.6,17.8,2.2,21.2,35.4
2022-01-11 05:00:00Z,11.9,,20.6,2.3,24.0,34.8
2022-01-11 06:00:00Z,15.5,10.4,25.1,4.0,31.2,31.3
2022-01-11 07:00:00Z,14.8,12.9,37.2,4.3,43.8,19.7
2022-01-11 08:00:00Z,19.3,15.1,48.0,8.0,60.2,12.1
2022-01-11 09:00:00Z,24.1,15.1,46.6,8.8,60.1,14.9
2022-01-11 10:00:00Z,14.9,,,,,12.8
2022-01-11 11:00:00Z,31.1,24.1,44.7,14.7,67.4,15.3
2022-01-11 12:00:00Z,33.0,26.7,41.3,17.8,68.6,17.6
2022-01-11 13:00:00Z,33.2,24.5,35.4,15.2,58.7,24.1
2022-01-11 14:00:00Z,27.8,24.4,40.9,16.4,66.1,21.6
2022-01-11 15:00:00Z,31.4,26.8,46.1,16.7,71.7,17.4
2022-01-11 16:00:00Z,38.0,24.5,53.8,17.4,80.5,9.3
2022-01-11 17:00:00Z,35.7,26.9,62.7,22.6,97.3,2.3
2022-01-11 18:00:00Z,34.7,23.5,64.7,29.8,110.4,1.7
2022-01-11 19:00:00Z,35.1,28.7,62.8,23.1,98.2,1.9
2022-01-11 20:00:00Z,37.7,28.5,61.6,22.8,96.5,2.4
2022-01-11 21:00:00Z,41.2,33.5,62.4,31.7,110.9,2.1
2022-01-11 22:00:00Z,41.0,34.3,62.8,41.1,125.8,2.2
2022-01-11 23:00:00Z,40.7,33.1,61.9,25.3,100.7,2.3
2022-01-12 00:00:00Z,37.8,32.1,60.8,17.9,88.3,2.3
2022-01-12 01:00:00Z,34.3,32.2,61.4,21.0,93.6,2.2
2022-01-12 02:00:00Z,33.6,30.9,59.5,21.9,93.0,1.9
2022-01-12 03:00:00Z,39.9,33.6,58.1,24.2,95.2,1.9
2022-01-12 04:00:00Z,40.7,34.4,58.4,21.9,92.1,1.5
2022-01-12 05:00:00Z,36.9,33.3,56.7,23.4,92.8,1.4
2022-01-12 06:00:00Z,34.8,31.0,56.7,35.3,110.8,1.0
2022-01-12 07:00:00Z,37.9,35.1,59.9,63.2,156.7,1.3
2022-01-12 08:00:00Z,37.7,34.8,67.0,101.8,223.1,1.3
2022-01-12 09:00:00Z,46.5,35.1,68.7,125.2,260.7,1.6
2022-01-12 10:00:00Z,61.7,45.2,66.7,123.3,255.8,2.3
2022-01-12 11:00:00Z,60.4,46.7,65.0,115.5,242.1,3.7
2022-01-12 12:00:00Z,57.0,44.5,65.0,114.5,240.5,3.5
2022-01-12 13:00:00Z,58.9,43.9,68.6,112.4,241.0,3.5
2022-01-12 14:00:00Z,59.2,40.7,68.6,109.8,236.9,4.1
2022-01-12 15:00:00Z,58.2,39.2,71.7,111.5,242.7,3.1
2022-01-12 16:00:00Z,55.7,38.9,66.1,83.9,194.7,2.3
2022-01-12 17:00:00Z,41.3,30.9,65.7,30.2,112.0,2.0
2022-01-12 18:00:00Z,31.3,21.3,66.3,29.5,111.5,1.8
2022-01-12 19:00:00Z,33.4,24.6,70.1,39.5,130.8,2.3
2022-01-12 20:00:00Z,38.4,32.4,62.4,35.6,116.9,2.0
2022-01-12 21:00:00Z,35.3,28.7,55.9,20.1,86.7,2.2
2022-01-12 22:00:00Z,28.7,24.5,40.9,11.3,58.3,4.0
2022-01-12 23:00:00Z,21.4,22.1,35.4,7.5,46.8,3.6
2022-01-13 00:00:00Z,20.2,19.3,33.9,7.8,45.9,5.2
2022-01-13 01:00:00Z,20.1,18.2,33.1,8.1,45.5,4.8
2022-01-13 02:00:00Z,16.9,14.5,28.1,4.9,35.6,6.7
2022-01-13 03:00:00Z,12.3,11.0,24.7,3.9,30.8,7.2
2022-01-13 04:00:00Z,11.1,7.5,25.5,4.4,32.2,7.5
2022-01-13 05:00:00Z,8.8,8.2,29.5,7.1,40.4,4.4
2022-01-13 06:00:00Z,6.1,8.3,33.0,13.0,52.7,3.3
2022-01-13 07:00:00Z,9.3,5.7,39.1,28.1,82.2,1.0
2022-01-13 08:00:00Z,7.6,8.1,41.1,20.8,73.0,1.5
2022-01-13 09:00:00Z,9.3,8.4,41.0,22.5,75.5,3.1
2022-01-13 10:00:00Z,13.8,8.7,39.7,29.6,85.0,4.3
2022-01-13 11:00:00Z,16.6,13.6,44.7,32.9,95.1,4.9
2022-01-13 12:00:00Z,20.0,16.5,44.5,29.9,90.3,7.4
2022-01-13 13:00:00Z,22.9,17.5,45.2,34.7,98.4,6.9
2022-01-13 14:00:00Z,24.6,17.1,46.6,29.9,92.5,8.5
2022-01-13 15:00:00Z,27.0,18.0,49.5,37.4,106.7,8.6
2022-01-13 16:00:00Z,33.5,20.6,55.2,48.1,129.0,4.1
2022-01-13 17:00:00Z,25.8,17.1,57.0,43.8,124.1,1.5
2022-01-13 18:00:00Z,20.8,13.4,54.1,33.4,105.3,1.5
2022-01-13 19:00:00Z,22.2,17.1,52.9,44.6,121.3,2.1
2022-01-13 20:00:00Z,28.3,24.7,54.2,58.3,143.6,2.0
2022-01-13 21:00:00Z,33.6,28.8,49.1,39.1,109.1,1.6
2022-01-13 22:00:00Z,33.3,28.3,47.2,34.9,100.9,1.4
2022-01-13 23:00:00Z,29.9,27.2,48.1,39.6,108.8,1.4
2022-01-14 00:00:00Z,28.5,23.3,48.5,36.8,104.9,1.4
2022-01-14 01:00:00Z,30.5,23.4,49.6,59.2,140.4,1.1
2022-01-14 02:00:00Z,27.8,24.5,48.0,32.1,97.1,1.5
2022-01-14 03:00:00Z,24.5,24.5,46.5,26.8,87.6,1.3
2022-01-14 04:00:00Z,26.1,23.0,44.8,34.6,97.9,1.2
2022-01-14 05:00:00Z,30.9,26.6,45.4,43.8,112.5,1.4
2022-01-14 06:00:00Z,30.4,25.9,42.7,36.2,98.2,1.0
2022-01-14 07:00:00Z,29.8,24.7,50.6,67.7,154.5,1.4
2022-01-14 08:00:00Z,31.3,26.6,59.4,104.7,219.8,1.5
2022-01-14 09:00:00Z,39.4,28.8,59.4,139.6,273.4,2.1
2022-01-14 10:00:00Z,44.8,30.7,55.6,111.4,226.4,3.1
2022-01-14 11:00:00Z,45.7,34.5,66.0,129.8,265.1,4.3
2022-01-14 12:00:00Z,50.0,36.8,53.2,57.3,141.0,9.0
2022-01-14 13:00:00Z,42.5,30.6,57.4,51.1,135.8,9.3
2022-01-14 14:00:00Z,46.1,34.8,62.4,48.1,136.1,9.7
2022-01-14 15:00:00Z,46.3,36.8,60.7,39.6,121.5,8.3
2022-01-14 16:00:00Z,42.4,31.9,60.2,24.5,97.8,6.8
2022-01-14 17:00:00Z,41.1,29.6,62.3,28.3,105.6,1.9
2022-01-14 18:00:00Z,40.7,32.4,62.8,38.7,122.1,1.9
2022-01-14 19:00:00Z,45.5,36.7,63.5,59.1,154.1,3.2
2022-01-14 20:00:00Z,54.0,43.6,60.0,49.0,135.1,2.5
2022-01-14 21:00:00Z,50.9,45.0,57.2,35.7,111.9,2.3
2022-01-14 22:00:00Z,49.9,45.1,66.3,94.9,211.7,3.6
2022-01-14 23:00:00Z,70.9,57.0,77.9,194.1,375.5,4.5
2022-01-15 00:00:00Z,74.0,58.6,58.8,60.4,151.4,1.8
2022-01-15 01:00:00Z,55.6,46.6,65.8,119.9,249.4,3.5
2022-01-15 02:00:00Z,64.3,54.4,60.2,83.9,188.9,2.6
2022-01-15 03:00:00Z,60.0,54.6,71.7,184.2,354.2,4.2
2022-01-15 04:00:00Z,82.2,71.8,74.0,224.1,417.6,4.3
2022-01-15 05:00:00Z,87.4,74.1,70.6,221.7,410.4,3.9
2022-01-15 06:00:00Z,86.9,74.5,74.5,300.0,534.6,3.2
2022-01-15 07:00:00Z,86.4,75.1,66.3,244.1,440.6,2.8
2022-01-15 08:00:00Z,77.1,68.8,63.5,228.9,414.4,3.2
2022-01-15 09:00:00Z,75.8,66.9,71.9,248.2,452.5,3.0
2022-01-15 10:00:00Z,83.3,68.0,77.4,237.4,441.4,2.7
2022-01-15 11:00:00Z,89.3,72.5,87.4,239.0,454.0,3.6
2022-01-15 12:00:00Z,98.8,79.8,98.3,214.1,426.5,4.0
2022-01-15 13:00:00Z,98.7,85.6,91.1,142.1,309.0,5.1
2022-01-15 14:00:00Z,95.9,86.4,103.7,159.2,348.0,4.9
2022-01-15 15:00:00Z,111.5,92.9,114.4,172.1,378.3,4.1
2022-01-15 16:00:00Z,98.0,84.7,76.9,71.3,186.2,2.9
2022-01-15 17:00:00Z,63.9,56.1,65.5,53.2,147.1,2.3
2022-01-15 18:00:00Z,59.4,53.3,58.4,36.1,113.7,2.4
