,PA18:PM10,PA18:PM25,PA18:NO2,PA18:NO,PA18:NOX,PA18:O3
,PARIS 18ème,PARIS 18ème,PARIS 18ème,PARIS 18ème,PARIS 18ème,PARIS 18ème
,PA18,PA18,PA18,PA18,PA18,PA18
,PM 10 particules,"PM 2,5 particules",dioxyde d azote,monoxyde d azote,oxydes d azote,ozone
,PM10,PM25,NO2,NO,NOX,O3
,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3
2022-01-01 01:00:00Z,30.5,24.7,40.6,15.4,64.2,1.0
2022-01-01 02:00:00Z,37.5,,36.7,15.3,60.1,0.5
2022-01-01 03:00:00Z,30.1,22.9,32.2,11.9,50.5,1.0
2022-01-01 04:00:00Z,26.3,26.4,30.5,13.0,50.5,0.9
2022-01-01 05:00:00Z,23.7,21.0,28.3,9.5,42.8,1.5
2022-01-01 06:00:00Z,20.2,18.0,28.0,11.3,45.2,1.2
2022-01-01 07:00:00Z,18.8,15.4,26.2,5.7,34.9,3.5
2022-01-01 08:00:00Z,14.6,14.3,29.9,9.2,44.1,1.7
2022-01-01 09:00:00Z,14.2,12.5,29.5,14.0,51.0,3.1
2022-01-01 10:00:00Z,13.3,11.0,25.7,13.8,46.9,9.1
2022-01-01 11:00:00Z,14.4,10.3,22.8,12.1,41.3,14.7
2022-01-01 12:00:00Z,13.1,11.5,21.3,9.7,36.2,19.1
2022-01-01 13:00:00Z,13.8,13.2,24.9,10.9,41.7,19.8
2022-01-01 14:00:00Z,15.4,9.9,27.8,10.3,43.7,20.6
2022-01-01 15:00:00Z,12.8,12.3,28.4,7.7,40.1,20.7
2022-01-01 16:00:00Z,11.0,11.3,35.1,7.0,45.8,13.3
2022-01-01 17:00:00Z,17.5,12.3,42.0,7.5,53.6,7.2
2022-01-01 18:00:00Z,15.7,15.2,46.7,11.7,64.7,3.1
2022-01-01 19:00:00Z,22.3,20.4,46.9,15.0,70.0,3.5
2022-01-01 20:00:00Z,25.0,20.1,47.8,17.2,74.1,2.1
2022-01-01 21:00:00Z,28.5,26.1,48.0,29.4,93.2,1.3
2022-01-01 22:00:00Z,32.1,25.0,46.7,28.4,90.3,1.0
2022-01-01 23:00:00Z,29.3,25.6,44.8,25.5,83.9,0.5
2022-01-02 00:00:00Z,25.9,22.1,41.1,17.3,67.5,0.5
2022-01-02 01:00:00Z,20.6,15.8,37.4,8.2,49.9,2.5
2022-01-02 02:00:00Z,18.8,19.1,34.5,5.7,43.1,3.9
2022-01-02 03:00:00Z,15.1,17.8,30.9,4.9,38.5,6.3
2022-01-02 04:00:00Z,15.8,13.2,24.3,2.9,28.8,12.4
2022-01-02 05:00:00Z,13.8,14.2,21.6,2.1,24.8,16.8
2022-01-02 06:00:00Z,12.5,11.8,21.6,2.3,25.1,19.6
2022-01-02 07:00:00Z,13.7,10.6,20.0,1.8,22.8,24.6
2022-01-02 08:00:00Z,12.2,11.1,18.4,2.8,22.7,27.2
2022-01-02 09:00:00Z,12.6,11.0,15.3,2.8,19.6,30.4
2022-01-02 10:00:00Z,15.3,8.6,16.6,4.3,23.1,33.5
2022-01-02 11:00:00Z,17.2,11.0,16.4,3.7,22.0,43.8
2022-01-02 12:00:00Z,13.0,5.9,16.5,2.2,19.8,57.0
2022-01-02 13:00:00Z,10.9,7.8,17.0,2.2,20.5,53.1
2022-01-02 14:00:00Z,12.4,6.8,17.6,2.1,20.8,52.0
2022-01-02 15:00:00Z,11.0,10.5,15.9,1.9,18.8,60.1
2022-01-02 16:00:00Z,7.7,6.9,15.8,1.6,18.2,61.5
2022-01-02 17:00:00Z,12.6,4.2,16.1,1.4,18.2,61.2
2022-01-02 18:00:00Z,12.0,7.9,15.7,1.3,17.7,60.5
2022-01-02 19:00:00Z,9.1,9.9,15.8,1.3,17.7,63.3
2022-01-02 20:00:00Z,9.7,9.9,13.3,1.0,14.8,67.9
2022-01-02 21:00:00Z,13.5,5.9,11.1,1.2,12.8,69.6
2022-01-02 22:00:00Z,16.5,7.1,11.9,1.1,13.6,68.3
2022-01-02 23:00:00Z,14.8,5.7,9.6,1.0,11.1,71.2
2022-01-03 00:00:00Z,16.2,8.3,9.1,1.1,10.8,70.7
2022-01-03 01:00:00Z,18.1,4.8,9.0,0.9,10.4,71.0
2022-01-03 02:00:00Z,16.5,9.1,8.8,0.7,9.9,71.4
2022-01-03 03:00:00Z,18.0,7.9,9.0,0.8,10.3,70.0
2022-01-03 04:00:00Z,16.6,4.7,8.9,0.8,10.0,69.9
2022-01-03 05:00:00Z,16.3,6.7,10.5,0.9,11.9,67.0
2022-01-03 06:00:00Z,17.0,6.8,16.4,1.4,18.5,60.3
2022-01-03 07:00:00Z,16.7,8.2,23.5,1.9,26.3,55.6
2022-01-03 08:00:00Z,19.8,8.6,27.0,1.9,29.9,50.4
2022-01-03 09:00:00Z,18.7,11.2,28.2,2.2,31.5,49.4
2022-01-03 10:00:00Z,23.0,10.5,27.4,2.6,31.4,49.8
2022-01-03 11:00:00Z,23.5,11.1,19.2,2.2,22.6,58.4
2022-01-03 12:00:00Z,18.9,6.7,18.3,2.3,21.7,58.7
2022-01-03 13:00:00Z,22.1,7.0,14.4,2.3,18.0,63.9
2022-01-03 14:00:00Z,18.1,6.2,15.9,1.8,18.8,62.4
2022-01-03 15:00:00Z,16.7,7.6,20.0,2.1,23.2,57.2
2022-01-03 16:00:00Z,13.4,7.4,26.0,2.2,29.4,49.4
2022-01-03 17:00:00Z,12.6,7.5,28.0,1.7,30.5,43.8
2022-01-03 18:00:00Z,8.6,3.5,28.7,1.7,31.2,47.8
2022-01-03 19:00:00Z,5.0,1.9,23.1,1.7,25.6,50.3
2022-01-03 20:00:00Z,4.5,,15.0,1.3,17.1,58.1
2022-01-03 21:00:00Z,8.1,,13.6,1.3,15.6,54.9
2022-01-03 22:00:00Z,9.7,6.1,13.5,1.4,15.7,52.9
2022-01-03 23:00:00Z,10.9,5.3,13.0,1.3,15.1,53.3
2022-01-04 00:00:00Z,8.0,5.1,11.4,1.0,12.9,52.7
2022-01-04 01:00:00Z,3.2,,12.8,1.0,14.3,48.2
2022-01-04 02:00:00Z,5.5,,23.3,1.6,25.8,49.1
2022-01-04 03:00:00Z,6.4,3.0,15.4,0.7,16.5,63.0
2022-01-04 04:00:00Z,2.4,0.1,14.8,0.9,16.2,65.4
2022-01-04 05:00:00Z,2.4,,20.3,1.7,22.9,63.8
2022-01-04 06:00:00Z,1.9,,32.1,3.9,38.1,54.5
2022-01-04 07:00:00Z,1.2,,52.1,6.5,62.1,39.9
2022-01-04 08:00:00Z,3.9,2.9,59.7,6.6,69.7,33.6
2022-01-04 09:00:00Z,7.9,1.6,52.0,6.1,61.3,40.8
2022-01-04 10:00:00Z,9.9,2.5,52.8,5.5,61.3,41.6
2022-01-04 11:00:00Z,,,40.1,4.0,46.4,52.6
2022-01-04 12:00:00Z,,,36.1,3.7,41.8,53.5
2022-01-04 13:00:00Z,,,28.3,3.6,33.8,55.8
2022-01-04 14:00:00Z,7.4,5.6,25.0,3.2,30.1,56.1
2022-01-04 15:00:00Z,8.0,5.9,22.4,2.6,26.3,55.7
2022-01-04 16:00:00Z,9.7,5.6,24.3,2.5,28.1,51.5
2022-01-04 17:00:00Z,10.3,4.1,23.4,2.6,27.4,51.5
2022-01-04 18:00:00Z,6.4,3.5,18.7,1.9,21.7,56.6
2022-01-04 19:00:00Z,5.4,1.8,19.6,1.9,22.5,52.9
2022-01-04 20:00:00Z,4.8,4.6,20.7,3.3,25.9,47.5
