,PA18:PM10,PA18:NO2,PA18:NO,PA18:NOX,PA18:O3
,PARIS 18ème,PARIS 18ème,PARIS 18ème,PARIS 18ème,PARIS 18ème
,PA18,PA18,PA18,PA18,PA18
,PM 10 particules,dioxyde d azote,monoxyde d azote,oxydes d azote,ozone
,PM10,NO2,NO,NOX,O3
,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3
2018-01-01 01:00:00Z,14.2,14.0,0.0,15.3,66.0
2018-01-01 02:00:00Z,13.0,14.0,1.0,16.3,66.0
2018-01-01 03:00:00Z,11.6,14.0,0.0,15.8,64.0
2018-01-01 04:00:00Z,11.9,15.0,0.0,17.2,62.0
2018-01-01 05:00:00Z,14.5,14.0,0.0,14.8,62.0
2018-01-01 06:00:00Z,16.8,15.0,0.0,17.2,58.0
2018-01-01 07:00:00Z,17.5,15.0,0.0,16.7,57.0
2018-01-01 08:00:00Z,14.2,15.0,0.0,16.7,56.0
2018-01-01 09:00:00Z,18.6,14.0,0.0,14.8,57.0
2018-01-01 10:00:00Z,17.6,16.0,1.0,17.7,56.0
2018-01-01 11:00:00Z,13.6,21.0,0.0,22.9,53.0
2018-01-01 12:00:00Z,3.8,21.0,1.0,23.9,52.0
2018-01-01 13:00:00Z,2.4,25.0,2.0,29.2,50.0
2018-01-01 14:00:00Z,4.7,21.0,2.0,25.3,59.0
2018-01-01 15:00:00Z,3.7,18.0,1.0,20.5,63.0
2018-01-01 16:00:00Z,4.4,19.0,2.0,22.4,60.0
2018-01-01 17:00:00Z,3.4,18.0,2.0,21.5,61.0
2018-01-01 18:00:00Z,4.7,19.0,2.0,22.0,61.0
2018-01-01 19:00:00Z,6.7,22.0,2.0,24.9,58.0
2018-01-01 20:00:00Z,11.4,20.0,1.0,22.5,59.0
2018-01-01 21:00:00Z,11.1,17.0,1.0,19.6,58.0
2018-01-01 22:00:00Z,12.4,17.0,2.0,20.5,57.0
2018-01-01 23:00:00Z,13.1,14.0,0.0,14.8,61.0
2018-01-02 00:00:00Z,13.7,13.0,0.0,13.9,62.0
2018-01-02 01:00:00Z,9.1,12.0,0.0,12.9,62.0
2018-01-02 02:00:00Z,11.6,12.0,0.0,13.9,60.0
2018-01-02 03:00:00Z,16.0,12.0,0.0,13.4,60.0
2018-01-02 04:00:00Z,16.3,11.0,0.0,12.9,59.0
2018-01-02 05:00:00Z,17.1,14.0,0.0,15.3,55.0
2018-01-02 06:00:00Z,19.1,27.0,2.0,30.6,43.0
2018-01-02 07:00:00Z,20.2,44.0,4.0,52.1,26.0
2018-01-02 08:00:00Z,23.2,56.0,7.0,66.4,17.0
2018-01-02 09:00:00Z,24.7,48.0,6.0,57.9,21.0
2018-01-02 10:00:00Z,24.1,44.0,6.0,55.0,24.0
2018-01-02 11:00:00Z,23.4,44.0,6.0,54.0,26.0
2018-01-02 12:00:00Z,21.7,45.0,9.0,59.3,25.0
2018-01-02 13:00:00Z,25.7,36.0,5.0,45.4,32.0
2018-01-02 14:00:00Z,24.2,35.0,3.0,41.1,33.0
2018-01-02 15:00:00Z,17.9,33.0,2.0,36.3,36.0
2018-01-02 16:00:00Z,9.5,34.0,2.0,37.7,35.0
2018-01-02 17:00:00Z,3.7,35.0,2.0,38.7,31.0
2018-01-02 18:00:00Z,1.9,38.0,2.0,43.1,29.0
2018-01-02 19:00:00Z,5.4,38.0,3.0,44.5,26.0
2018-01-02 20:00:00Z,8.6,37.0,3.0,43.1,26.0
2018-01-02 21:00:00Z,9.5,30.0,1.0,33.0,31.0
2018-01-02 22:00:00Z,12.8,26.0,1.0,29.2,34.0
2018-01-02 23:00:00Z,9.3,15.0,0.0,16.7,49.0
2018-01-03 00:00:00Z,7.5,11.0,0.0,11.5,55.0
2018-01-03 01:00:00Z,9.5,8.0,0.0,8.6,57.0
2018-01-03 02:00:00Z,4.8,6.0,0.0,5.7,57.0
2018-01-03 03:00:00Z,0.1,5.0,0.0,5.7,53.0
2018-01-03 04:00:00Z,6.1,6.0,0.0,6.7,54.0
2018-01-03 05:00:00Z,9.2,7.0,0.0,8.1,70.0
2018-01-03 06:00:00Z,7.5,14.0,1.0,16.7,63.0
2018-01-03 07:00:00Z,4.1,19.0,2.0,23.9,63.0
2018-01-03 08:00:00Z,6.2,23.0,3.0,27.8,63.0
2018-01-03 09:00:00Z,15.4,22.0,2.0,26.3,63.0
2018-01-03 10:00:00Z,12.4,21.0,3.0,25.8,65.0
2018-01-03 11:00:00Z,13.0,22.0,4.0,29.2,63.0
2018-01-03 12:00:00Z,26.0,18.0,3.0,22.5,64.0
2018-01-03 13:00:00Z,21.6,24.0,5.0,31.6,57.0
2018-01-03 14:00:00Z,22.7,19.0,3.0,24.4,62.0
2018-01-03 15:00:00Z,19.8,21.0,3.0,26.8,61.0
2018-01-03 16:00:00Z,22.3,22.0,2.0,26.3,58.0
2018-01-03 17:00:00Z,22.6,25.0,1.0,28.2,55.0
2018-01-03 18:00:00Z,23.2,26.0,1.0,28.2,55.0
2018-01-03 19:00:00Z,20.5,29.0,2.0,32.5,51.0
2018-01-03 20:00:00Z,23.5,35.0,1.0,38.3,45.0
2018-01-03 21:00:00Z,21.8,26.0,1.0,29.2,53.0
2018-01-03 22:00:00Z,16.7,15.0,0.0,17.2,68.0
2018-01-03 23:00:00Z,9.5,23.0,1.0,24.9,58.0
2018-01-04 00:00:00Z,11.3,30.0,1.0,32.0,45.0
2018-01-04 01:00:00Z,7.9,25.0,0.0,25.4,45.0
2018-01-04 02:00:00Z,9.0,27.0,0.0,27.8,38.0
2018-01-04 03:00:00Z,8.2,28.0,0.0,28.7,34.0
2018-01-04 04:00:00Z,4.4,23.0,0.0,23.4,39.0
