,PA18:PM10,PA18:NO2,PA18:NO,PA18:NOX,PA18:O3
,PARIS 18ème,PARIS 18ème,PARIS 18ème,PARIS 18ème,PARIS 18ème
,PA18,PA18,PA18,PA18,PA18
,PM 10 particules,dioxyde d azote,monoxyde d azote,oxydes d azote,ozone
,PM10,NO2,NO,NOX,O3
,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3
2019-01-01 01:00:00Z,12.4,34.0,5.0,41.7,19.7
2019-01-01 02:00:00Z,11.3,34.9,5.4,43.3,20.5
2019-01-01 03:00:00Z,18.2,35.8,3.3,41.0,24.3
2019-01-01 04:00:00Z,22.2,29.4,2.8,33.7,31.5
2019-01-01 05:00:00Z,10.4,27.3,3.0,31.9,34.7
2019-01-01 06:00:00Z,11.1,35.3,3.4,40.6,28.7
2019-01-01 07:00:00Z,11.3,32.4,3.7,38.2,27.7
2019-01-01 08:00:00Z,14.1,30.8,3.7,36.5,27.2
2019-01-01 09:00:00Z,15.0,30.7,4.7,37.8,26.3
2019-01-01 10:00:00Z,14.3,30.7,4.6,37.7,28.8
2019-01-01 11:00:00Z,14.3,23.5,3.5,28.9,36.5
2019-01-01 12:00:00Z,13.2,25.7,5.0,33.3,35.7
2019-01-01 13:00:00Z,16.5,29.3,5.6,37.8,32.1
2019-01-01 14:00:00Z,16.3,31.6,4.9,39.1,30.6
2019-01-01 15:00:00Z,18.1,32.5,6.5,42.5,28.8
2019-01-01 16:00:00Z,19.2,33.3,5.4,41.5,26.7
2019-01-01 17:00:00Z,19.2,35.9,5.9,45.0,23.0
2019-01-01 18:00:00Z,25.3,40.1,7.7,51.8,18.5
2019-01-01 19:00:00Z,31.9,44.8,9.1,58.7,14.9
2019-01-01 20:00:00Z,32.4,45.0,8.9,58.7,13.9
2019-01-01 21:00:00Z,28.8,44.0,7.8,55.9,14.1
2019-01-01 22:00:00Z,22.2,43.9,5.9,52.9,11.4
2019-01-01 23:00:00Z,18.9,27.0,4.5,33.9,26.2
2019-01-02 00:00:00Z,14.8,23.6,3.6,29.1,36.8
2019-01-02 01:00:00Z,12.0,18.0,2.6,22.0,40.9
2019-01-02 02:00:00Z,9.9,16.1,2.0,19.2,40.1
2019-01-02 03:00:00Z,9.7,20.9,2.6,24.8,37.9
2019-01-02 04:00:00Z,8.6,19.3,2.3,22.8,37.6
2019-01-02 05:00:00Z,11.4,27.8,5.1,35.6,34.9
2019-01-02 06:00:00Z,14.6,47.6,9.5,62.1,23.4
2019-01-02 07:00:00Z,16.1,61.4,15.4,85.1,16.2
2019-01-02 08:00:00Z,19.1,64.2,16.6,89.6,13.4
2019-01-02 09:00:00Z,19.7,63.3,17.7,90.4,14.7
2019-01-02 10:00:00Z,18.4,54.3,14.5,76.6,20.1
2019-01-02 11:00:00Z,16.1,46.5,13.2,66.7,25.1
2019-01-02 12:00:00Z,17.1,40.6,10.5,56.8,30.0
2019-01-02 13:00:00Z,17.2,40.3,10.3,56.1,31.7
2019-01-02 14:00:00Z,17.7,49.9,14.2,71.7,25.7
2019-01-02 15:00:00Z,17.8,46.4,11.3,63.8,28.4
2019-01-02 16:00:00Z,15.7,52.8,11.2,70.1,25.1
2019-01-02 17:00:00Z,15.0,62.0,13.3,82.4,20.0
2019-01-02 18:00:00Z,15.1,69.1,15.7,93.1,15.0
2019-01-02 19:00:00Z,19.4,59.3,11.0,76.3,18.7
2019-01-02 20:00:00Z,20.7,53.2,9.8,68.2,
2019-01-02 21:00:00Z,19.0,50.2,7.5,61.7,20.9
2019-01-02 22:00:00Z,21.2,44.9,6.9,55.5,23.3
2019-01-02 23:00:00Z,18.3,36.7,5.0,44.3,28.2
2019-01-03 00:00:00Z,15.8,33.8,5.0,41.4,28.4
2019-01-03 01:00:00Z,14.9,29.0,3.1,33.7,31.6
2019-01-03 02:00:00Z,13.4,22.0,2.4,25.8,36.4
2019-01-03 03:00:00Z,13.2,22.8,2.1,26.1,33.4
2019-01-03 04:00:00Z,14.4,30.0,2.4,33.8,28.0
2019-01-03 05:00:00Z,13.9,38.1,5.3,46.2,22.4
2019-01-03 06:00:00Z,15.9,52.6,8.7,66.0,13.5
2019-01-03 07:00:00Z,17.1,61.7,14.6,84.2,9.2
2019-01-03 08:00:00Z,17.2,70.3,18.5,98.6,6.0
2019-01-03 09:00:00Z,17.8,64.6,16.0,89.2,8.2
2019-01-03 10:00:00Z,19.1,57.3,16.1,82.1,13.0
2019-01-03 11:00:00Z,20.5,56.5,19.2,86.1,15.0
2019-01-03 12:00:00Z,19.2,48.6,13.3,68.9,29.9
2019-01-03 13:00:00Z,17.0,40.6,10.1,56.0,39.9
2019-01-03 14:00:00Z,14.1,46.7,11.6,64.4,37.0
2019-01-03 15:00:00Z,15.1,55.2,16.3,80.2,27.6
2019-01-03 16:00:00Z,16.2,52.3,11.0,69.1,29.8
2019-01-03 17:00:00Z,14.1,59.1,14.8,81.8,24.8
2019-01-03 18:00:00Z,17.4,54.7,9.3,69.0,29.2
2019-01-03 19:00:00Z,19.4,67.3,16.9,93.2,15.8
2019-01-03 20:00:00Z,19.6,58.5,11.5,76.2,21.3
2019-01-03 21:00:00Z,21.7,49.1,7.4,60.4,29.6
2019-01-03 22:00:00Z,20.6,47.1,7.4,58.5,25.8
2019-01-03 23:00:00Z,20.0,51.5,8.4,64.3,23.1
2019-01-04 00:00:00Z,17.8,48.0,5.9,57.1,23.7
2019-01-04 01:00:00Z,17.8,42.7,4.7,49.8,26.0
2019-01-04 02:00:00Z,18.8,32.7,2.7,36.9,31.3
2019-01-04 03:00:00Z,19.1,32.9,2.6,36.9,30.8
2019-01-04 04:00:00Z,22.0,36.3,3.5,41.7,26.8
